power_W,duration_s,wall_thickness_mm,bottom_buffer_mm,cooling_h_W_per_m2K,insertion_depth_mm,nx,ny,dt_s,source_smoothing_mm,lesion_depth_mm,lesion_width_mm,lesion_area_mm2,depth_to_width_ratio,depth_fraction,transmural,overheat_area_mm2,peak_temperature_C,name,transmural_int
90.0,4.0,3.0,4.0,2500.0,2.0,281,123,0.05,0.2,1.6832759938605952,3.4563395301830537,4.990573770491831,0.48701118022726375,0.5610919979535317,False,0.0,97.85280078818595,vhpsd_90W_4s,0
30.0,30.0,4.0,4.0,800.0,0.5,281,141,0.05,0.2,2.6285284540621303,3.715661674630492,8.107346938775555,0.7074186737745781,0.6571321135155326,False,0.0,65.90895107663088,standard_30W_30s,0
50.0,10.0,4.0,4.0,800.0,0.5,281,141,0.05,0.2,1.615665113473721,3.1424482527298063,4.305306122449003,0.5141421539941707,0.40391627836843025,False,0.0,71.5065803894083,hpsd_50W_10s,0
90.0,4.0,4.0,4.0,800.0,0.5,281,141,0.05,0.2,1.150739015950796,3.0674075802995793,3.1371428571428743,0.375150346286361,0.287684753987699,False,0.0,81.4702324625681,vhpsd_90W_4s,0
30.0,30.0,4.0,4.0,800.0,1.0,281,141,0.05,0.2,2.9545254614083194,4.21756483806624,10.395918367346995,0.7005287588567278,0.7386313653520798,False,0.0,71.1044429020995,standard_30W_30s,0
50.0,10.0,4.0,4.0,800.0,1.0,281,141,0.05,0.2,1.864666161656513,3.5023616398444277,5.57265306122452,0.532402519615119,0.46616654041412825,False,0.0,78.92884338139135,hpsd_50W_10s,0
90.0,4.0,4.0,4.0,800.0,1.0,281,141,0.05,0.2,1.3490357978546168,3.3167112683617517,3.960000000000022,0.40673899194154345,0.3372589494636542,False,0.0,90.74077014351649,vhpsd_90W_4s,0
30.0,30.0,4.0,4.0,800.0,1.5,281,141,0.05,0.2,3.239999762899229,4.644614704564598,12.566938775510273,0.697582031877703,0.8099999407248073,False,0.0,77.237278572426,standard_30W_30s,0
50.0,10.0,4.0,4.0,800.0,1.5,281,141,0.05,0.2,2.075254974733165,3.793123222477846,6.689387755102077,0.5471098229647048,0.5188137436832913,False,0.0,86.72846642259888,hpsd_50W_10s,0
90.0,4.0,4.0,4.0,800.0,1.5,281,141,0.05,0.2,1.5169047310561863,3.505463392147383,4.713061224489822,0.43272587996617423,0.37922618276404657,False,0.0,99.51199547632176,vhpsd_90W_4s,0
30.0,30.0,4.0,4.0,800.0,2.0,281,141,0.05,0.2,3.497835165125453,5.025364408564505,14.649795918367428,0.6960361240996272,0.8744587912813633,False,0.0,84.40667376773108,standard_30W_30s,0
50.0,10.0,4.0,4.0,800.0,2.0,281,141,0.05,0.2,2.2627855771107113,4.035380845326463,7.758367346938818,0.5607365608951964,0.5656963942776778,False,0.0,94.67428452544206,hpsd_50W_10s,0
90.0,4.0,4.0,4.0,800.0,2.0,281,141,0.05,0.2,1.6671098988093311,3.6603012420812684,5.4000000000000306,0.45545702076187666,0.4167774747023328,False,0.6832653061224527,107.55486115350548,vhpsd_90W_4s,0
